GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Gyracanthus;convexus;Incerti_ordinis;Gyracanthidae;Y;Devonian;Pragian;410,8;Pragian;407,6;409,2;?;Koblenz;Nellenköpfchenschichten;Europe;X;X;X;X;N;0;1;1;0;0;0;0;N;Y;NA
Gyracanthus;convexus;Incerti_ordinis;Gyracanthidae;Y;Devonian;Pragian;410,8;Pragian;407,6;409,2;?;Bresebachtal;;Europe;X;X;X;X;N;0;1;1;0;0;0;0;N;Y;NA
Gyracanthus;convexus;Incerti_ordinis;Gyracanthidae;Y;Devonian;Pragian;410,8;Pragian;407,6;409,2;?;Oberstadtfeld;;Europe;X;X;X;X;N;0;1;1;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;N;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Staffordshire;Deep Mine Ironstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Newsham;Coal Measures;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Dudley;Coal Measures;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Airdrie;Coal Measures;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Lesmahagow;Coal Measures;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Carluke;Coal Measures;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
Gyracanthus ;formosus;Incerti_ordinis;Gyracanthidae;Y;Carboniferous;Tournaisian;358,9;Gzhelian;298,9;328,9;?;Barnsley;;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;Y;NA
