GENUS;SPECIES;ORDER;FAMILY;SUBCLASS;GROUP_GINTER;GROUP_GINTER2;TOOTH_PLATE;SCM1;SCM2;SCM_average;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Cleveland;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Big Creek;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Brooklyn;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;0,5;0,5;0,5;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Bedford;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;Elasmobranchii;N;0,5;0,5;0,5;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Sheffield Township;Cleveland Shale;North America;X;X;X;X;N;0;0;0;0;1;1;0;N;N;N
Chitonodus;antiquus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Burlington;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Chitonodus;gibbus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Wensleydale;Yoredale Series;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Chitonodus;livatus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;0;1;1;0;0;0;0;N;N;Y
Chitonodus;springeri;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Chitonodus;tribulis;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Iowa;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;angustus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;N;Nebraska;Wabaunsee;North America;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;colei;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;3,35;3,35;1,07;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;3,35;3,35;1,07;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Cochliodus;costatus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;0;0;1;1;0;0;0;N;N;Y
Cochliodus;egertoni;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;Y
Cochliodus;laminaris;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;Carboniferous Limestone;Europe;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Keokuk;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Des Moins Rapids;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Warsaw;Keokuk Limestone;North America;X;X;X;X;N;0;0;0;1;1;1;1;N;N;Y
