GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,MID POINT,LAZARUS,COLLECTION,FORMATION,Latitude,Longitude,CONTINENT,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY
Cladoselache,sp.,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,N,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Bedford,Cleveland Shale,41.4,-81.5,North America,N,0,0,0,0,1,1,0,N,N,N
Cladoselache,sp.,Symmoriiformes,Cladoselachidae,Holocephali,Cladodontomorphi,Elasmobranchii,N,Y,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Sheffield Township,Cleveland Shale,41.5,-82.1,North America,N,0,0,0,0,1,1,0,N,N,N
Chitonodus,antiquus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Burlington,Burlington limestone,40.8,-91.1,North America,N,0,0,1,1,0,0,0,N,N,Y
Chitonodus,gibbus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Bashkirian,315.2,330.95,N,Wensleydale,Yoredale Series,54.3,-2.2,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Chitonodus,livatus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Alton,St. Louis limestone,38.9,-90.2,North America,N,0,1,1,0,0,0,0,N,N,Y
Chitonodus,springeri,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Iowa,Burlington limestone,NA,NA,North America,N,0,0,1,1,0,0,0,N,N,Y
Chitonodus,tribulis,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Iowa,Keokuk Limestone,NA,NA,North America,N,0,0,0,1,1,1,1,N,N,Y
Cochliodus,angustus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,301.3,N,Nebraska,Wabaunsee,NA,NA,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Cochliodus,colei,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,Y
Cochliodus,contortus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,N
Cochliodus,contortus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Bristol,Carboniferous Limestone,51.5,-2.5,Europe,N,1,1,1,0,0,0,0,N,N,N
Cochliodus,costatus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Iowa,Burlington limestone,NA,NA,North America,N,0,0,1,1,0,0,0,N,N,Y
Cochliodus,egertoni,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Bristol,Carboniferous Limestone,51.5,-2.5,Europe,N,1,1,1,0,0,0,0,N,N,Y
Cochliodus,laminaris,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Moscovian ,315.2,Moscovian ,307,311.1,N,Myachkovo,Carboniferous Limestone,55.3,38.7,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Cochliodus,latus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Keokuk,Keokuk Limestone,40.4,-91.4,North America,N,0,0,0,1,1,1,1,N,N,Y
Cochliodus,latus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Des Moins Rapids,Keokuk Limestone,41.5,-93.2,North America,N,0,0,0,1,1,1,1,N,N,Y
Cochliodus,latus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Warsaw,Keokuk Limestone,40.4,-91.4,North America,N,0,0,0,1,1,1,1,N,N,Y
Cochliodus,leidyi,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Chester,,37.9,-89.8,North America,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Cochliodus,liratus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,St. Louis,St. Louis limestone,38.6,-90.2,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,minimus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Tournaisian,358.9,Tournaisian,346.7,352.8,N,Smiths Branch,Chouteau Limestone,37.7,-90.9,North America,N,0,0,0,0,1,1,0,N,N,Y
Cochliodus,obliquus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Missouri,St. Louis limestone,NA,NA,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,oblongus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,Y
Cochliodus,occidentalis,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Illinois,St. Louis limestone,NA,NA,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,sancti-ludovici,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Kavanaugh's Quarry,St. Louis limestone,38.6,-90.2,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,sancti-ludovici,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Alton,St. Louis limestone,38.9,-90.2,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,sancti-ludovici,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,St. Louis,St. Louis limestone,38.6,-90.2,North America,N,0,1,1,0,0,0,0,N,N,Y
Cochliodus,sp.,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,1,1,1,1,N,N,Y
Cochliodus,sp.,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Bristol,Carboniferous Limestone,51.5,-2.5,Europe,N,1,1,1,1,1,1,1,N,N,Y
Cochliodus,sp.,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Keokuk,Keokuk Limestone,40.4,-91.4,North America,N,1,1,1,1,1,1,1,N,N,Y
Cochliodus,striatus,Cochliodontiformes,Cochliodontidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Armagh,Carboniferous Limestone,54.3,-6.7,Europe,N,1,1,1,0,0,0,0,N,N,Y
